query,Category,Topic
What is ELECTRA?,NLP,ELECTRA
What is embedding similarity?,NLP,Embeddings
Explain emotion detection in NLP.,NLP,Emotion Recognition
Sentiment analysis vs emotion detection.,NLP,Emotion Recognition
Explain the encoder-decoder architecture.,NLP,Encoder-Decoder
Cross-entropy loss vs perplexity.,NLP,Evaluation Metrics
Explain BERTScore.,NLP,Evaluation Metrics
Explain BLEU score.,NLP,Evaluation Metrics
Explain METEOR score.,NLP,Evaluation Metrics
Explain ROUGE score.,NLP,Evaluation Metrics
Macro F1 vs Micro F1.,NLP,Evaluation Metrics
"Precision, Recall, and F1-score in NLP tasks.",NLP,Evaluation Metrics
Explain FLAN-T5.,NLP,FLAN-T5
How can fairness be improved in NLP systems?,NLP,Fairness in NLP
How can NLP detect fake news?,NLP,Fake News Detection
What is fine-tuning?,NLP,Fine-Tuning
What is supervised fine-tuning (SFT)?,NLP,Fine-Tuning
What is GLUE benchmark?,NLP,GLUE
How does GPT generate text?,NLP,GPT
What is GPT?,NLP,GPT
What are your thoughts about using GPT3 for our,NLP,GPT-3
Explain Hidden Markov Models (HMM).,NLP,HMM
Difference between HMM and CRF.,NLP,HMM vs CRF
How can hallucinations be reduced?,NLP,Hallucinations
What are hallucinations in LLMs?,NLP,Hallucinations
Explain the origin and evolution of NLP.,NLP,History of NLP
BM25 vs TF-IDF.,NLP,Information Retrieval
How can we use machine learning for search?,NLP,Information Retrieval
What are good unsupervised baselines for text information retrieval?,NLP,Information Retrieval
What is Information Retrieval? List any five examples.,NLP,Information Retrieval
What is instruction tuning?,NLP,Instruction Tuning
What is intent classification?,NLP,Intent Detection
Explain keyword extraction.,NLP,Keyword Extraction
RAKE vs TextRank.,NLP,Keyword Extraction
How do you evaluate an LLM?,NLP,LLM Evaluation
Explain jailbreak attacks on LLMs.,NLP,LLM Security
Explain LSTM step by step for beginners.,NLP,LSTM
Explain gates used in LSTM with their functions.,NLP,LSTM
Explain the formula-based calculation of LSTM.,NLP,LSTM
How does an LSTM Network Work?,NLP,LSTM
How should I make a mini project on LSTM?,NLP,LSTM
List key terms related to LSTM.,NLP,LSTM
Provide beginner-friendly code for LSTM.,NLP,LSTM
What should I say if examiner asks about LSTM?,NLP,LSTM
Write important theory points about LSTM.,NLP,LSTM
LSTM vs GRU: explain the main differences.,NLP,LSTM vs GRU
What is language identification?,NLP,Language Identification
What is perplexity?,NLP,Language Model Evaluation
Autoregressive vs masked language models.,NLP,Language Models
Explain autoregressive language models.,NLP,Language Models
Explain masked language models.,NLP,Language Models
How are LLMs trained?,NLP,Large Language Models
What are large language models (LLMs)?,NLP,Large Language Models
Explain lexical analysis with examples.,NLP,Lexical Analysis
"Differentiate between syntax, semantics, and pragmatics.",NLP,Linguistics
Explain LoRA.,NLP,LoRA
What are production challenges in deploying NLP models?,NLP,MLOps for NLP
Write a short note on Machine Translation.,NLP,Machine Translation
Explain the masked language model.,NLP,Masked Language Models
Explain pruning in NLP models.,NLP,Model Compression
How can NLP models be compressed for deployment?,NLP,Model Compression
What is knowledge distillation in NLP?,NLP,Model Compression
What is morphology in NLP?,NLP,Morphology
Explain multi-head attention.,NLP,Multi-Head Attention
Challenges in multilingual NLP.,NLP,Multilingual NLP
Explain multilingual NLP.,NLP,Multilingual NLP
How large should N be when using N-grams in a bag-of-words model?,NLP,N-Grams
How large should be N for our bag of words when using N-grams?,NLP,N-Grams
What are N-grams? How can we use them?,NLP,N-Grams
Write a short note on N-grams.,NLP,N-grams
Choose the following areas where NLP can be useful.,NLP,NLP Applications
List various applications of NLP and discuss any two applications in detail.,NLP,NLP Applications
What are the major components of an NLP system?,NLP,NLP Basics
What is Natural Language Processing (NLP)?,NLP,NLP Basics
What datasets are commonly used for NLP benchmarking?,NLP,NLP Benchmarks
List and explain the challenges of NLP.,NLP,NLP Challenges
What is the main challenge(s) of NLP?,NLP,NLP Challenges
What are ethical concerns in NLP?,NLP,NLP Ethics
How do you extract features in NLP?,NLP,NLP Feature Extraction
Which library in Python is commonly used for NLP tasks?,NLP,NLP Libraries
Explain the NLP pipeline from raw text to prediction.,NLP,NLP Pipeline
Which of the following includes major tasks of NLP?,NLP,NLP Tasks
What is the difference between NLP and NLU?,NLP,NLP vs NLU
What is the purpose of Named Entity Recognition?,NLP,Named Entity Recognition
What is Named-Entity Recognition?,NLP,Named Entity Recognition (NER)
Which of the following is an example of Natural Language Generation?,NLP,Natural Language Generation
What is Natural Language Understanding? Discuss various levels of analysis under it with examples.,NLP,Natural Language Understanding
Write a short note on One-Hot Encoding.,NLP,One-Hot Encoding
Explain opinion mining.,NLP,Opinion Mining
What is parameter-efficient fine-tuning (PEFT)?,NLP,PEFT
What is POS tagging? Discuss various approaches to perform POS tagging.,NLP,POS Tagging
What is PoS Tagging?,NLP,POS Tagging
What is the purpose of Part-of-Speech tagging?,NLP,POS Tagging
Difference between constituency parsing and dependency parsing.,NLP,Parsing
What are parse trees?,NLP,Parsing
Explain Earley Parsing.,NLP,Parsing Algorithms
What is shift-reduce parsing?,NLP,Parsing Algorithms
What is the CYK Parsing algorithm?,NLP,Parsing Algorithms
How would you come up with an algorithm to detect plagiarism in,NLP,Plagiarism Detection
Explain sinusoidal positional encoding.,NLP,Positional Encoding
Learned positional encoding vs sinusoidal encoding.,NLP,Positional Encoding
Why do Transformers use positional encoding?,NLP,Positional Encoding
Which of the following is a popular pre-trained language model developed by OpenAI?,NLP,Pretrained Language Models
What is pretraining?,NLP,Pretraining
Explain chain-of-thought prompting.,NLP,Prompt Engineering
What are prompt templates?,NLP,Prompt Engineering
What is few-shot prompting?,NLP,Prompt Engineering
What is one-shot prompting?,NLP,Prompt Engineering
What is prompt engineering?,NLP,Prompt Engineering
What is self-consistency prompting?,NLP,Prompt Engineering
What is zero-shot prompting?,NLP,Prompt Engineering
What is prompt injection?,NLP,Prompt Security
What is QLoRA?,NLP,QLoRA
Why is quantization useful in LLMs?,NLP,Quantization
How is SQuAD evaluated?,NLP,Question Answering
What does automated question answering in NLP involve?,NLP,Question Answering
What is a Question Answering (QA) system? Explain its types.,NLP,Question Answering
What is Exact Match (EM) score?,NLP,Question Answering Metrics
Explain the architecture of a RAG system.,NLP,RAG
What is Retrieval-Augmented Generation (RAG)?,NLP,RAG
When should RAG be preferred over fine-tuning?,NLP,RAG
What is RLHF?,NLP,RLHF
Find the answer for this RNN numerical problem.,NLP,RNN
Give architecture for an ML/DL project using RNN.,NLP,RNN
Give concise revision notes on RNN.,NLP,RNN
Give quick interview-style questions on RNN.,NLP,RNN
How can I build a basic RNN model?,NLP,RNN
Prepare an exam answer for RNN.,NLP,RNN
What is RNN and how does an RNN work?,NLP,RNN
Why is RNN important in ML and DL?,NLP,RNN
Give examples in which a many-to-one RNN architecture is appropriate.,NLP,RNN Architectures
Compare RNN and LSTM in ML/DL.,NLP,RNN vs LSTM
What is RoBERTa?,NLP,RoBERTa
How is RoBERTa different from BERT?,NLP,RoBERTa vs BERT
"In a search engine, given partial data on what the user has typed,",NLP,Search Engine
What is self-attention?,NLP,Self-Attention
Why is self-attention better than recurrence?,NLP,Self-Attention
What is semantic search?,NLP,Semantic Search
How is semantic analysis different from pragmatic analysis?,NLP,Semantic vs Pragmatic Analysis
"How do you get sentence meanings from word embeddings, considering word positions?",NLP,Sentence Embeddings
"If you have a sentence with multiple words, how would you combine multiple word embeddings into one?",NLP,Sentence Embeddings
Compare different algorithms used in sentiment analysis.,NLP,Sentiment Analysis
Which algorithm is commonly used for sentiment analysis?,NLP,Sentiment Analysis
Write a short note on Sentiment Analysis.,NLP,Sentiment Analysis
What is exposure bias in sequence generation?,NLP,Sequence Generation
Explain sequence labeling with examples.,NLP,Sequence Labeling
Which of the following is not a sequence labeling task?,NLP,Sequence Labeling
Why do sequence models suffer from error accumulation?,NLP,Sequence Models
What is the seq2seq model?,NLP,Sequence-to-Sequence Models
Which neural network architecture is commonly used for sequence-to-sequence tasks like machine translation?,NLP,Sequence-to-Sequence Models
Cosine similarity vs Euclidean distance for embeddings.,NLP,Similarity Metrics
What is slot filling?,NLP,Slot Filling
Growth for total number of tweets sent has been slow this month.,NLP,Social Media Analytics
"Given a list of tweets, determine the top 10 most used hashtags.",NLP,Social Media Text Analytics
"Given training data on tweets and their retweets, how would you",NLP,Social Media Text Analytics
Explain span prediction.,NLP,Span Prediction
Explain sparse retrieval.,NLP,Sparse Retrieval
Speech recognition vs speech synthesis.,NLP,Speech Processing
What is phoneme recognition?,NLP,Speech Processing
What is the purpose of stemming in NLP?,NLP,Stemming
What is the difference between stemming and lemmatization?,NLP,Stemming & Lemmatization
Why do we remove stop words? When do we not remove them?,NLP,Stop Words
What is SuperGLUE?,NLP,SuperGLUE
What is constituency parsing?,NLP,Syntactic Parsing
What are Syntactic and Semantic Analysis?,NLP,Syntactic vs Semantic Analysis
What is T5 (Text-to-Text Transfer Transformer)?,NLP,T5
Calculate TF-IDF for the given corpus and identify the word(s) with the highest value.,NLP,TF-IDF
Define TF-IDF and explain how to use it for converting text to vectors.,NLP,TF-IDF
Explain TF-IDF with its applications.,NLP,TF-IDF
What is TF-IDF? How is it useful for text classification?,NLP,TF-IDF
Explain TF/IDF vectorization.,NLP,TF/IDF Vectorization
Explain teacher forcing in sequence models.,NLP,Teacher Forcing
What is scheduled sampling?,NLP,Teacher Forcing
How can we use machine learning for text classification?,NLP,Text Classification
Would you prefer gradient boosting trees model or logistic regression when doing text classification with bag of words,NLP,Text Classification
Which model would you use for text classification with bag-of-words features?,NLP,Text Classification Models
Would you prefer gradient boosting or logistic regression for text classification with bag-of-words features?,NLP,Text Classification Models
Would you prefer gradient boosting or logistic regression for text classification with embeddings?,NLP,Text Classification Models
Would you prefer gradient boosting trees or logistic regression when doing text classification with bag of words?,NLP,Text Classification Models
Conditional vs unconditional text generation.,NLP,Text Generation
Explain nucleus (top-p) sampling.,NLP,Text Generation
Explain top-k sampling.,NLP,Text Generation
What is text generation?,NLP,Text Generation
Does the vocabulary of a corpus remain the same before and after text normalization? Why?,NLP,Text Normalization
What is the need for text normalization in NLP? Explain the various steps involved.,NLP,Text Normalization
How do you preprocess text in NLP?,NLP,Text Preprocessing
Which of the following is an example of a preprocessing step in NLP?,NLP,Text Preprocessing
Discuss text summarization in detail with its types.,NLP,Text Summarization
What algorithm can be used to summarize Twitter feed?,NLP,Text Summarization
Explain Text-to-Speech (TTS).,NLP,Text-to-Speech
Explain TextRank algorithm.,NLP,TextRank
What is token classification?,NLP,Token Classification
What is tokenization?,NLP,Tokenization
LDA vs BERTopic.,NLP,Topic Modeling
What is topic coherence?,NLP,Topic Modeling
What is topic modeling?,NLP,Topic Modeling
"Compare BERT, GPT, and T5.",NLP,Transformer Models
Explain the Transformer architecture.,NLP,Transformers
What are decoder-only Transformer models?,NLP,Transformers
What are encoder-decoder Transformer models?,NLP,Transformers
What are encoder-only Transformer models?,NLP,Transformers
What are vector databases?,NLP,Vector Databases
What is vector search?,NLP,Vector Databases
Explain the Viterbi algorithm.,NLP,Viterbi Algorithm
Do you know any other ways to obtain word embeddings?,NLP,Word Embeddings
What are word embeddings? Why are they useful?,NLP,Word Embeddings
What are word embeddings? Why are they useful? Do you know Word2Vec?,NLP,Word Embeddings
What is the purpose of word embeddings in NLP?,NLP,Word Embeddings
Which of the following is an example of a word embedding technique?,NLP,Word Embeddings
What do you mean by Word Sense Disambiguation (WSD)? Discuss its various approaches.,NLP,Word Sense Disambiguation
Which NLP task determines the correct meaning of a word based on context?,NLP,Word Sense Disambiguation
Why is Word Sense Disambiguation a challenging problem in NLP?,NLP,Word Sense Disambiguation
Explain the Lesk Algorithm for WSD with a suitable example.,NLP,Word Sense Disambiguation (Lesk Algorithm)
What is Word2Vec?,NLP,Word2Vec
Explain Skip-gram and CBOW with diagrams.,NLP,Word2Vec (CBOW & Skip-gram)
How is Word2Vec different from GloVe?,NLP,Word2Vec vs GloVe
What is WordNet?,NLP,WordNet
What is XLM-R?,NLP,XLM-R
What is XLNet?,NLP,XLNet
Why was XLNet proposed?,NLP,XLNet
How is fastText different from Word2Vec?,NLP,fastText vs Word2Vec
Explain multilingual BERT.,NLP,mBERT
What is A3C?,RL,A3C
What is specification gaming?,RL,AI Safety
What is an action space?,RL,Action Space
What is the difference between discrete and continuous action spaces?,RL,Action Space
How does A3C differ from A2C?,RL,Actor-Critic
What is Advantage Actor-Critic (A2C)?,RL,Actor-Critic
What is Asynchronous Advantage Actor-Critic (A3C)?,RL,Actor-Critic
Why are asynchronous methods useful?,RL,Actor-Critic
What is Actor-Critic method?,RL,Actor-Critic Methods
What is distributional reinforcement learning?,RL,Advanced RL
Why is the advantage function useful?,RL,Advantage Estimation
What is the advantage function?,RL,Advantage Function
What is an agent in reinforcement learning?,RL,Agent and Environment
What is the environment in reinforcement learning?,RL,Agent and Environment
How is MCTS used in AlphaGo?,RL,AlphaGo
How does AlphaZero differ from AlphaGo?,RL,AlphaZero
What is behavior cloning?,RL,Behavior Cloning
How does the Bellman Equation differ from the Bellman Optimality Equation?,RL,Bellman Equation
What is the Bellman Optimality Equation?,RL,Bellman Equation
What is the Bellman equation?,RL,Bellman Equation
Why is the Bellman Equation recursive?,RL,Bellman Equation
What is bootstrapping in reinforcement learning?,RL,Bootstrapping
What is the difference between bootstrapping and sampling?,RL,Bootstrapping
How does a contextual bandit differ from a standard bandit?,RL,Contextual Bandits
What is a contextual bandit?,RL,Contextual Bandits
What is continual reinforcement learning?,RL,Continual Learning
What is lifelong reinforcement learning?,RL,Continual Reinforcement Learning
How do continuous action spaces affect RL algorithms?,RL,Continuous RL
How do continuous state spaces affect RL algorithms?,RL,Continuous RL
What is the credit assignment problem?,RL,Credit Assignment
What is curiosity-driven exploration?,RL,Curiosity-Driven Exploration
What is curriculum learning?,RL,Curriculum Learning
What is Deep Deterministic Policy Gradient (DDPG)?,RL,DDPG
Why is DDPG suitable for continuous action spaces?,RL,DDPG
What is a target network?,RL,DQN Components
Why is target network freezing used in DQN?,RL,DQN Training
What is DDPG?,RL,Deep Deterministic Policy Gradient (DDPG)
What is DQN?,RL,Deep Q Networks (DQN)
What is AlphaZero?,RL,Deep RL Applications
What causes catastrophic forgetting in RL?,RL,Deep RL Challenges
Why can deep reinforcement learning become unstable?,RL,Deep RL Challenges
How do neural networks approximate value functions?,RL,Deep Reinforcement Learning
What is Rainbow DQN?,RL,Deep Reinforcement Learning
Diffusion-based RL?,RL,Diffusion Models in RL
What is the discount factor (γ) and why is it important?,RL,Discount Factor
How does distributional RL differ from traditional RL?,RL,Distributional RL
What is Quantile Regression DQN (QR-DQN)?,RL,Distributional RL
What is the C51 algorithm?,RL,Distributional RL
How does Double DQN reduce overestimation bias?,RL,Double DQN
What is Double DQN?,RL,Double DQN
What is Dueling DQN?,RL,Dueling DQN
What is dueling network architecture?,RL,Dueling DQN
Why are dueling networks beneficial?,RL,Dueling DQN
How does Dyna-Q combine learning and planning?,RL,Dyna-Q
What is the Dyna-Q algorithm?,RL,Dyna-Q
What is dynamic programming in reinforcement learning?,RL,Dynamic Programming
What is the principle of optimality?,RL,Dynamic Programming
Why does dynamic programming require a model of the environment?,RL,Dynamic Programming
What is policy iteration?,RL,Dynamic Programming Algorithms
What is value iteration?,RL,Dynamic Programming Algorithms
How can eligibility traces improve learning?,RL,Eligibility Traces
What are eligibility traces?,RL,Eligibility Traces
What is TD(λ)?,RL,Eligibility Traces
How is entropy measured in reinforcement learning?,RL,Entropy
Why is entropy added to policy optimization objectives?,RL,Entropy Regularization
What is the difference between deterministic and stochastic environments?,RL,Environment Types
Ethical issues in RL?,RL,Ethics in Reinforcement Learning
How is reinforcement learning evaluated?,RL,Evaluation Metrics
What metrics are used to compare RL algorithms?,RL,Evaluation Metrics
How does Expected SARSA differ from SARSA?,RL,Expected SARSA
What is Expected SARSA?,RL,Expected SARSA
What information does an experience replay buffer store?,RL,Experience Replay
What is an experience tuple?,RL,Experience Replay
What is experience replay sampling?,RL,Experience Replay
What is experience replay?,RL,Experience Replay
What is prioritized experience replay?,RL,Experience Replay
What is replay buffer warm-up?,RL,Experience Replay
Why are experiences shuffled before training?,RL,Experience Replay
Why is replay memory important?,RL,Experience Replay
How do random seeds affect RL experiments?,RL,Experiment Design
Explainable RL?,RL,Explainable Reinforcement Learning
How do Noisy Networks encourage exploration?,RL,Exploration
What is NoisyNet exploration?,RL,Exploration
What is count-based exploration?,RL,Exploration
What is directed exploration?,RL,Exploration
What is exploration by random action?,RL,Exploration
What is optimistic initialization in reinforcement learning?,RL,Exploration
What is parameter noise?,RL,Exploration
Why is optimistic initialization useful?,RL,Exploration
What is Thompson Sampling?,RL,Exploration Strategies
What is Upper Confidence Bound (UCB) exploration?,RL,Exploration Strategies
What is epsilon-greedy action selection?,RL,Exploration Strategies
What is softmax action selection?,RL,Exploration Strategies
What is the exploration-exploitation tradeoff?,RL,Exploration vs Exploitation
What are extrinsic rewards?,RL,Extrinsic Motivation
What are linear function approximators in RL?,RL,Function Approximation
What are the approximation methods in Reinforcement Learning?,RL,Function Approximation
What is function approximation in reinforcement learning?,RL,Function Approximation
Why is function approximation needed in large state spaces?,RL,Function Approximation
Future of RL?,RL,Future of Reinforcement Learning
What is Generalized Advantage Estimation (GAE)?,RL,Generalized Advantage Estimation (GAE)
How does generalized policy iteration converge?,RL,Generalized Policy Iteration
What is generalized policy iteration (GPI)?,RL,Generalized Policy Iteration
What is hierarchical RL?,RL,Hierarchical Reinforcement Learning
What is preference-based reinforcement learning?,RL,Human Feedback
What hyperparameters are most important in RL?,RL,Hyperparameter Tuning
How does inverse reinforcement learning differ from imitation learning?,RL,Imitation Learning
What are the limitations of behavioral cloning?,RL,Imitation Learning
What is apprenticeship learning?,RL,Imitation Learning
What is behavioral cloning?,RL,Imitation Learning
What is dataset aggregation (DAgger)?,RL,Imitation Learning
What is imitation learning?,RL,Imitation Learning
What is importance sampling in reinforcement learning?,RL,Importance Sampling
Why is importance sampling used in off-policy learning?,RL,Importance Sampling
What are intrinsic rewards?,RL,Intrinsic Motivation
What is curiosity-driven learning?,RL,Intrinsic Motivation
What is inverse reinforcement learning?,RL,Inverse Reinforcement Learning
LLM + RL integration?,RL,LLMs and Reinforcement Learning
What is online reinforcement learning?,RL,Learning Paradigms
What is the reward function in an MDP?,RL,MDP Components
What is the transition probability function?,RL,MDP Components
What are Markov Decision Processes (MDPs)?,RL,Markov Decision Process (MDP)
What is the Markov property?,RL,Markov Property
Why is the Markov assumption important in RL?,RL,Markov Property
What is meta-reinforcement learning?,RL,Meta Reinforcement Learning
What are the advantages of model-based RL?,RL,Model-Based RL
What are the disadvantages of model-based RL?,RL,Model-Based RL
What is model-based reinforcement learning?,RL,Model-Based RL
What is a model of the environment?,RL,Model-Based Reinforcement Learning
How does model-based RL differ from model-free RL?,RL,Model-Based vs Model-Free
What is the difference between model-free and model-based reinforcement learning?,RL,Model-Free vs Model-Based RL
What are every-visit Monte Carlo methods?,RL,Monte Carlo Methods
What are first-visit Monte Carlo methods?,RL,Monte Carlo Methods
What is Monte Carlo reinforcement learning?,RL,Monte Carlo Methods
How does Monte Carlo learning differ from TD learning?,RL,Monte Carlo vs TD
What challenges arise in multi-agent reinforcement learning?,RL,Multi-Agent RL
What is competitive multi-agent reinforcement learning?,RL,Multi-Agent RL
What is cooperative multi-agent reinforcement learning?,RL,Multi-Agent RL
What is multi-agent reinforcement learning?,RL,Multi-Agent RL
What is multi-agent RL?,RL,Multi-Agent Reinforcement Learning
How is regret minimized in reinforcement learning?,RL,Multi-Armed Bandits
What are non-stationary bandit problems?,RL,Multi-Armed Bandits
What is cumulative regret?,RL,Multi-Armed Bandits
What is regret in reinforcement learning?,RL,Multi-Armed Bandits
What are n-step returns?,RL,N-Step Methods
What is n-step TD learning?,RL,N-Step Methods
What is off-policy learning?,RL,Off-Policy Learning
Why is off-policy learning useful?,RL,Off-Policy Learning
How does offline RL differ from online RL?,RL,Offline RL
What are the challenges of offline reinforcement learning?,RL,Offline RL
What is batch reinforcement learning?,RL,Offline RL
What is offline reinforcement learning?,RL,Offline Reinforcement Learning
What is on-policy learning?,RL,On-Policy Learning
What is trust region optimization?,RL,Optimization
Why can policy updates become unstable?,RL,Optimization Challenges
How does PPO approximate TRPO?,RL,PPO
What is KL divergence in PPO?,RL,PPO
What is clipping in PPO?,RL,PPO
Why is GAE widely used in PPO?,RL,PPO
Why is KL divergence monitored during policy optimization?,RL,PPO
Why is PPO more stable than vanilla policy gradients?,RL,PPO
What is partial observability in reinforcement learning?,RL,Partially Observable Environments
What are POMDPs?,RL,Partially Observable Markov Decision Processes
Explain Passive Reinforcement Learning.,RL,Passive Reinforcement Learning
How does planning differ from learning?,RL,Planning
What is Monte Carlo Tree Search (MCTS)?,RL,Planning
What is planning in reinforcement learning?,RL,Planning
What is a policy in reinforcement learning?,RL,Policy
How can variance be reduced in policy gradient methods?,RL,Policy Gradient
How does REINFORCE update policy parameters?,RL,Policy Gradient
What is REINFORCE?,RL,Policy Gradient
What is baseline subtraction in policy gradients?,RL,Policy Gradient
What is deterministic policy gradient (DPG)?,RL,Policy Gradient
What is the policy gradient theorem?,RL,Policy Gradient
Why do policy gradient methods have high variance?,RL,Policy Gradient
What is policy gradient?,RL,Policy Gradient Methods
What is policy evaluation?,RL,Policy Iteration
What is policy improvement?,RL,Policy Iteration
What are actor-only methods?,RL,Policy Optimization
What is an optimal policy?,RL,Policy Optimization
What is entropy regularization in RL?,RL,Policy Optimization
What is policy entropy?,RL,Policy Optimization
What is a deterministic policy?,RL,Policy Types
What is a stochastic policy?,RL,Policy Types
What is PPO?,RL,Proximal Policy Optimization (PPO)
What is Q-learning?,RL,Q-Learning
What is overestimation bias in Q-learning?,RL,Q-Learning Challenges
Q-learning vs SARSA?,RL,Q-Learning vs SARSA
How is reinforcement learning used in autonomous driving?,RL,RL Applications
How is reinforcement learning used in finance?,RL,RL Applications
How is reinforcement learning used in healthcare?,RL,RL Applications
How is reinforcement learning used in recommendation systems?,RL,RL Applications
How is reinforcement learning used in resource allocation problems?,RL,RL Applications
How is reinforcement learning used in robotics?,RL,RL Applications
RL in game AI?,RL,RL Applications
RL in recommendation systems?,RL,RL Applications
RL in robotics applications?,RL,RL Applications
What are MuJoCo environments?,RL,RL Benchmarks
What benchmarks are commonly used for evaluating RL algorithms?,RL,RL Benchmarks
What are common failure modes of RL agents?,RL,RL Challenges
Why is reproducibility difficult in RL research?,RL,RL Challenges
What are the main elements of a reinforcement learning system?,RL,RL Components
What is DeepMind Control Suite?,RL,RL Frameworks
What is Gymnasium and how does it differ from OpenAI Gym?,RL,RL Frameworks
What is the OpenAI Gym environment?,RL,RL Frameworks
How does an RL agent learn through trial and error?,RL,RL Learning Process
What is the objective of reinforcement learning?,RL,RL Objectives
What are current research challenges in reinforcement learning?,RL,RL Research
What is a rollout in reinforcement learning?,RL,RL Terminology
What is a timestep in reinforcement learning?,RL,RL Terminology
What is a trajectory in reinforcement learning?,RL,RL Terminology
What is an episode in reinforcement learning?,RL,RL Terminology
How is RLHF used to train large language models?,RL,RLHF
What is reinforcement learning from human feedback (RLHF)?,RL,RLHF
Which techniques are combined in Rainbow DQN?,RL,Rainbow DQN
What is Reinforcement Learning?,RL,Reinforcement Learning
What is the Tic-Tac-Toe example used to demonstrate in reinforcement learning?,RL,Reinforcement Learning Examples
What is the difference between supervised learning and reinforcement learning?,RL,Reinforcement Learning vs Supervised Learning
What is the return in reinforcement learning?,RL,Return
What challenges arise from sparse rewards?,RL,Reward Design
What is dense reward reinforcement learning?,RL,Reward Design
What is sparse reward reinforcement learning?,RL,Reward Design
What are the benefits of reward shaping?,RL,Reward Engineering
What are the risks of poor reward shaping?,RL,Reward Engineering
What is reward hacking?,RL,Reward Hacking
What is reward shaping?,RL,Reward Shaping
What is a reward signal?,RL,Reward Signal
What is delayed reward in reinforcement learning?,RL,Rewards
What is the difference between immediate reward and cumulative reward?,RL,Rewards
How does SAC encourage exploration?,RL,SAC
Why is SAC considered sample efficient?,RL,SAC
What is SARSA?,RL,SARSA
What are constrained Markov Decision Processes (CMDPs)?,RL,Safe RL
What is risk-sensitive reinforcement learning?,RL,Safe RL
What is safe reinforcement learning?,RL,Safe RL
Why is safety important in reinforcement learning?,RL,Safe RL
Safe reinforcement learning?,RL,Safe Reinforcement Learning
What is environment interaction cost?,RL,Sample Efficiency
Why is sample efficiency important in RL?,RL,Sample Efficiency
What is self-play in reinforcement learning?,RL,Self-Play
Why is self-play effective for competitive games?,RL,Self-Play
Sim-to-real problem?,RL,Sim-to-Real Transfer
What is domain randomization in reinforcement learning?,RL,Sim-to-Real Transfer
What is Soft Actor-Critic (SAC)?,RL,Soft Actor-Critic (SAC)
What is state aliasing?,RL,State Representation
What is the state space explosion problem?,RL,State Representation
What is a state in reinforcement learning?,RL,State Space
What are absorbing states?,RL,State Types
What are terminal states?,RL,State Types
How does TD3 improve upon DDPG?,RL,TD3
What is Twin Delayed DDPG (TD3)?,RL,TD3
What is trust region policy optimization (TRPO)?,RL,TRPO
What is the difference between episodic and continuing tasks?,RL,Task Types
What is Temporal Difference (TD) learning?,RL,Temporal Difference Learning
What is replay ratio?,RL,Training Strategies
How do reward scaling and normalization affect learning?,RL,Training Techniques
What is observation normalization?,RL,Training Techniques
Transformers in RL?,RL,Transformers in Reinforcement Learning
What is TRPO?,RL,Trust Region Policy Optimization (TRPO)
What is TD3?,RL,Twin Delayed DDPG (TD3)
What is a value function?,RL,Value Function
Compare value iteration and policy iteration.,RL,Value Iteration vs Policy Iteration
What are critic-only methods?,RL,Value-Based Methods
